,lemmas,real phrases,generated phrases
117,"girl, buy, cart",The girl buys with the cart.,girl buy a cart
118,"snail, Ramón, know, how, to, dress, not",The snail Ramón does not know how to dress.,Ramón knows how to dress not as a snail
119,"look, thread, with, magnifying glass",I look at the thread with the magnifying glass.,Look with a thread in a magnifying glass
120,"cock, sing, morning",The cock sings in the morning.,Cock sing morning
121,"child, listen, music",The child listens to music.,child listens to music
122,"child, look, stars, with, telescope",The child looks at the stars with the telescope.,child looks at stars with telescope
123,"child, listen, frog",The child listens to the frog.,child listens to frog
124,"Marcelina, go, out",Marcelina goes out to look for them.,Marcelina go out
125,"sheep, have, a, lot, of, wool",The sheep have a lot of wool.,Sheep have a lot of wool
126,"money, be, purse",The money is in the purse.,money be in purse
127,"children, learn, school",Children learn at school.,children learn in school
128,"nightingale, sing, branch",The nightingale sings on the branch.,The nightingale sang on the branch
129,"Mr. Pondio, care, animals",Mr. Pondio takes care of the animals.,Mr. Pondio cares for animals
130,"wolf, go, mill",The wolf goes to the mill.,Wolf goes to mill
131,"ogre, have, a, magic, harp",The ogre had a magic harp.,The harp has a magic
132,"piglet, play",The piglet is going to play.,piglet play
133,"Anabel, paint, paper",Anabel paints on the paper.,Anabel paints paper
134,"everyone, be, surprise, by, his, beautiful, costume",Everyone was surprised by his beautiful costume.,Everyone was surprised by his beautiful costume.
135,"ogre, have, a, magic, hen",The ogre had a magic hen.,The hen has a magic ogre.
136,"child, play, train",The child plays with the train.,child play on the train
137,"girl, skate, skates, helmet",The girl skates with skates and helmet.,girl skates on helmet
138,"guitar, be, cart",The guitar is in the cart.,I'm going to the store to buy a guitar in a cart.
139,"child, listen, bird",The child listens to the bird.,child listens to the bird
140,"cat, sleep, top, of, closet",The cat sleeps on top of the closet.,The cat sleeps on top of the closet.
141,"boy, throw, a, snowball",The boy is going to throw a snowball.,boy throws a snowball
142,"fish, swim, bathtub",The fish swims in the bathtub.,fish swim in bathtub
143,"turtle, swim, sea",The turtle swims in the sea.,turtle swim in the sea
144,"giraffe, run, jungle",The giraffe runs in the jungle.,The giraffe runs in the jungle.
145,"girl, drink, straw",The girl drinks with the straw.,"girl, drink, straw"
146,"children, jump, bed",Children jump in bed.,children jump on the bed
147,"ogre, go, down, by, plant",The ogre went down by the plant.,The plant goes down by the ogre.
148,"her, mother, find, her, crying",Her mother found her crying.,Her mother finds her crying.
149,"boy, write, window, with, his, finger",The boy writes on the window with his finger.,boy writes with his finger on the window
150,"oldest, one, make, a, stone, house",The oldest one makes a stone house.,Old one makes a stone house.
151,"dog, go, road",The dog went on the road.,dog go road
152,"leg, be, black",The leg is black and hairy.,"leg, be, black"
153,"Goldilocks, wake, up, scared",Goldilocks woke up scared.,Goldilocks woke up and was scared.
154,"they, be, to, see, you, well",They are to see you well.,They are to see you well.
155,"butterfly, fly, field",The butterfly flies through the field.,The butterfly flies in the field.
156,"Ramón, give, me, a, red, rose",Ramón gave me a red rose.,Ramón gives me a red rose
157,"Juan, meet, a, magician",Juan met a magician.,Juan met a magician
158,"butterfly, be, furious",The butterfly was furious.,The butterfly is furious.
159,"girl, play, water",The girl plays with water.,The girl plays in the water.
160,"girl, clap, her, hands",The girl claps with her hands.,girl clapped her hands
161,"moon, be, sky",The moon is in the sky.,The moon is in the sky.
162,"girl, write, a, pencil, on, paper",The girl writes with a pencil on paper.,The girl writes a pencil on paper.
163,"children, go, school, by, bus",Children go to school by bus.,Children go to school by bus.
164,"someone, break, small, chair",Someone has broken the small chair.,Someone broke a small chair
165,"his, mother, get, angry",His mother got angry.,His mother gets angry
166,"boy, listen, cat",The boy listens to the cat.,The boy listens to the cat
167,"go, grandmother's house",I go to my grandmother's house.,Grandmother goes to the house
168,"ferocious, wolf, follow, Little Red Riding Hood",The ferocious wolf followed Little Red Riding Hood.,Little Red Riding Hood followed the ferocious wolf
169,"wolf, eat, it",The wolf wants to eat it.,Wolf eats it
170,"Imanol, go, hotel",Imanol goes to the hotel.,Imanol goes to the hotel
171,"wolf, eat, kids",The wolf wants to eat the kids.,Wolf eats kids
172,"motorcycle, be, workshop",The motorcycle is in the workshop.,The motorcycle is in the workshop.
173,"plant, reach, sky",The plant reached the sky.,The plant reached the sky
174,"boy, swim, sea",The boy swims in the sea.,The boy swims in the sea.
175,"witch's friends, see, him, dance",The witch's friends saw him dancing.,The witch's friends saw him dance.
176,"children, laugh",The children laughed.,Children laugh
177,"Juan, his, mother, live, happily",Juan and his mother lived happily.,Juan's mother lives happily
178,"sleep, washing, machine",I sleep in the washing machine.,I sleep in the washing machine
179,"children, play, leaves, of, trees",The children play with the leaves of the trees.,Children play with leaves of trees
180,"girl, swim, library",The girl swims in the library.,The girl swims in the library.
181,"that, shoe, store, have, many, shoes",That shoe store has many shoes.,The shoe store has many shoes.
182,"wolf, dye, its, legs, with, flour",The wolf dyed its legs with flour.,The wolf dyed its legs with flour.
183,"baby, drink, bottle",The baby drinks in the bottle.,Baby drinks from the bottle
184,"granny, what, big, eyes, you, have",Granny what big eyes you have.,"Granny, what big eyes you have"
185,"boy, turn, light",The boy turns on the light.,The boy turned on the light.
186,"Juan, go, plant",Juan went down the plant.,Juan goes to plant
187,"dad, child, fish, reed, in, river",Dad and the child fish with the reed in the river.,The child fishes in the river with his dad.
188,"cat, look, fish",The cat looks at the fish.,The cat looks at the fish.
189,"Three Wise Men, bring, a, gift",The Three Wise Men bring a gift.,Three wise men bring a gift
190,"daddy, swim, pool",Daddy swims in the pool.,Daddy swims in the pool
191,"monkey, think, a, banana",The monkey thinks of a banana.,Monkey thinks about a banana
192,"like, stuffed, churros",I like stuffed churros.,Like stuffed churros
193,"child, read, a, book, with, flashlight",The child reads a book with the flashlight under the sheet.,child read a book with flashlight
194,"boy, swim, river",The boy swims in the river.,The boy swims in the river
195,"another, daughter, be, Saturn",Another daughter was Saturn.,Another daughter is be-ing with Saturn.
196,"girl, ride, tricycle",The girl rides on the tricycle.,The girl rides a tricycle.
197,"dog, play, bone",The dog plays with the bone.,The dog plays with the bone
198,"dog, sleep, basket",The dog sleeps in the basket.,The dog sleeps in the basket.
199,"child, sleep, little, bear",The child sleeps with the little bear.,The child sleeps with the little bear.
200,"break, my, ankle, on, slide",I broke my ankle on the slide.,I broke my ankle on slide
201,"kids, play, ball",The kids play with the ball.,kids play ball
202,"granny, what, a, big, mouth, you, have",Granny what a big mouth you have.,Granny what a big mouth you have
203,"wolf, eat, grandma",The wolf wants to eat grandma.,Wolf eats grandma
204,"bullfighter, look, bull",The bullfighter looks at the bull.,Bullfighter looks at the bull.
205,"plant, grow",The plant grew.,The plant grows
206,"girl, think, a, light, bulb",The girl thinks of a light bulb.,A girl thinks a light bulb
207,"play, park, with, children",I play in the park with the children.,The children play in the park.
208,"harp, produce, diamonds",The harp produced diamonds.,The harp produces diamonds.
209,"want, to, play, computer",I want to play on the computer.,I want to play on the computer
210,"Little Red Riding Hood, stunned, ask, grandmother",Little Red Riding Hood stunned asked the grandmother.,"Little Red Riding Hood, stunned, asked, grandmother"
211,"girl, have, Painted, hands",The girl has painted hands.,The girl has painted her hands.
212,"eat, lentils, on, Monday",On Monday I will eat lentils.,Eat lentils on Monday
213,"balloon, fly, mountains",The balloon flies over the mountains.,The balloon flies over the mountains.
214,"cat, sleep, couch",The cat sleeps on the couch.,The cat sleeps on the couch.
215,"her, stepmother, make, her, work, all, day",Her stepmother made her work all day.,Her stepmother makes her work all day.
216,"horse, run, sea",The horse runs in the sea.,The horse runs to the sea.
217,"children, play, snow",Children play with snow.,Children play in the snow
218,"dolphins, swim, sea",Dolphins swim in the sea.,Dolphins swim in the sea
219,"what, you, carry, basket, ?",What are you carrying in the basket?,What you carry in a basket
