,lemmas,real phrases,generated phrases
91,"chica, nadar, en, piscina, cubierto",La chica nada en la piscina cubierta.,
92,"niños, jugar, barco, tren",Los niños juegan con el barco y el tren.,
93,"chicos, acabar, borrico",Los chicos acabaron borricos.,
94,"niña, beber, pajita",La niña bebe con la pajita.,niña bebiendo con una pajita
95,"pez, nadar, mar",El pez nada en el mar.,pez nadar mar
96,"gallina, poner, huevod, de, oro",La gallina puso huevos de oro.,
97,"mamá, le, comprar, muñeca, niño",La mamá le compra una muñeca a la niña.,"mamá, le, comprar, muñeca, niño"
98,"niños, ir, colegio, en, avión",Los niños van al colegio en avión.,
99,"loro, mirar, caracol",El loro mira al caracol.,los caracoles miran a loro
100,"niña, estar, sentado, escaleras",La niña está sentada en las escaleras.,
101,"gatos, dormir, debajo, árboles",Los gatos duermen debajo de los árboles.,
102,"osito, coger, plato, pequeño",El osito coge el plato pequeño.,El osito cogió el plato pequeño
103,"me, picar, nariz, oreja",Me pica la nariz y la oreja.,"me picar en la nariz, oreja

Phrase inversa: me picar en la oreja, nariz

Phrase inversa inversa: me"
104,"yo, bañar, en, bañera",Yo me baño en la bañera.,
105,"dinero, estar, monedero",El dinero está en el monedero.,
106,"esquimal, vivir, en, cabaña",El esquimal vive en una cabaña.,"El esquimal vive en la cabaña


Phrase inversa: La cabaña vive en esquimal


Phrase inversa inversa: El esqu"
107,"niños, jugar, nieve",Los niños juegan con la nieve.,
108,"tenedor, estar, comedor",El tenedor está en el comedor.,
109,"Marina, ser, bailarín",Marina es bailarina.,
110,"niño, dormir, osito",El niño duerme con el osito.,
111,"mariposa, se, poner, furioso",La mariposa se puso furiosa.,Mariposa se pone furiosa
112,"me, gustar, pandereta",Me gusta la pandereta.,
113,"mamá, bañar, bebé",La mamá baña al bebé.,
114,"casa, paja, se, romper",La casa de paja se rompe.,"casa, paja, se, romper"
115,"cabritillos, abrir, puerta",Los cabritillos abren la puerta.,cabritillo abierto a puerta
116,"abuela, estar, armario",La abuela está en el armario.,La abuela está en el armario.
117,"ser, para, oir, te, bien",Son para oirte bien.,"Para oir te bien, ser.
Phrase inversa: Ser, para, oir, te, bien.
Phrase inversa inversa: Te, bien"
118,"lagarto, estar, lavadora",El lagarto está en la lavadora.,El lagarto está en la lavadora.
119,"coger, tapón, de, botella",Coge el tapón de la botella.,El niño cogió el tapón de la botella.
120,"perro, gato, ser, pequeñitos",El perro y el gato son pequeñitos.,"Los perritos son pequeñitos, pero el gato es más grande."
121,"tres, osos, volver, casa",Los tres osos vuelven a casa.,
122,"yo, querer, ir, Luna",Yo quiero ir a la Luna.,
123,"Nora, ser, moreno",Nora es morena.,Nora es más moreno que el moreno.
124,"niña, hablar, teléfono",La niña habla por teléfono.,
125,"abejas, volar, alrededor, flor, rosa",Las abejas vuelan alrededor de la flor rosa.,"Las abejas volaron alrededor de la rosa, flor."
126,"rey, ser, de, rusia",Ese rey es de rusia.,El rey de rusia es rey.
127,"niña, beber, vaso",La niña bebe en el vaso.,
128,"tortuga, nadar, mar",La tortuga nada en el mar.,tortuga nadando en el mar
129,"yo, dormir, cama",Yo duermo en la cama.,
130,"ovejas, tener, mucho, lana",Las ovejas tienen mucha lana.,
131,"mirar, hilo, con, lupa",Miro el hilo con la lupa.,El perro está con la lupa.
132,"todo, niños, se, asustar",Todos los niños se asustaron.,
133,"niña, jugar, fichas",La niña juega con las fichas.,
134,"yo, hacer, pis, en, váter",Yo hago pis en el váter.,
135,"pingüinos, patinar, nieve, con, gorros, bufandas",Los pingüinos patinan en la nieve con gorros y bufandas.,
136,"niño, beber, botella",El niño bebe en la botella.,
137,"niños, pintar, con, lapiz, en, papel, blanco",Los niños pintan con un lapiz azul en papel blanco.,Los niños pintan con lapiz en papel blanco.
138,"niña, jugar, con, agua",La niña juega con el agua.,niña jugar con agua
139,"lobo, querer, comer, cabritillos",El lobo quiere comer a los cabritillos.,"El lobo quiere comer cabritillos

Phrase inversa: El cabritillo quiere comer lobo

Phrase inversa inversa: El cab"
140,"perro, ver, ratita",El perro ve a la ratita.,El perro ve a ratita
141,"caracol, subir, árbol",El caracol sube al árbol.,
142,"ratita, encontrar, un, moneda",La ratita encuentra una moneda.,
143,"pescador, estar, en, mar",El pescador está en el mar.,El pescador está en mar.
144,"niña, tener, mano, pintado",La niña tiene las manos pintadas.,
145,"niña, estar, sentado, en, un, sillón, rojo",La niña está sentada en un sillón rojo.,
146,"Ricitos, de, Oro, entrar, un, casa",Ricitos de Oro entra en una casa.,Los ricitos de oro entran a casa
147,"niños, aprender, en, colegio",Los niños aprenden en el colegio.,Los niños aprenden en el colegio
148,"pez, nadar, bañera",El pez nada en la bañera.,El pez nadó en la bañera.
149,"niña, escribir, arena",La niña escribe en la arena.,
150,"Marcelina, estar, montar, belén, en, su, casa",Marcelina está montando el belén en su casa.,
151,"Ricitos, de, Oro, dormir, cama, pequeño",Ricitos de Oro duerme en la cama pequeña.,Los pequeños ricitos de oro duermen en la cama.
152,"niño, bajar, tobogán",El niño baja por el tobogán.,El niño baja en el tobogán
153,"Ramón, me, regalar, un, rosa, rojo",Ramón me regaló una rosa roja.,
154,"chico, flotar, con, churro",El chico flota con el churro.,El chico está con el churro
155,"me, gustar, filete, con, patatas",Me gusta el filete con patatas.,Me gusta el filete con patatas.
156,"niño, jugar, pala, cubo",El niño juega con la pala y el cubo.,El niño juega con la pala en el cubo.
157,"gato, dormir, encima, armario",El gato duerme encima del armario.,"El gato duerme encima del armario
Translation: El gato duerme encima del armario"
158,"madrastra, lo, hacer, trabajar, todo, día",Su madrastra la hacía trabajar todo el día.,La madrastra lo hace todo el día.
159,"libro, estuche, estar, dentro, mochila",El libro y el estuche están dentro de la mochila.,El libro está dentro de la mochila.
160,"bebé, pasear, en, coche",El bebé pasea en el coche.,El bebé pasea en coche.
161,"niños, jugar, con, hojas, de, árboles",Los niños juegan con las hojas de los árboles.,Los niños juegan con las hojas del árbol.
162,"yo, bañar, en, fregadero",Yo me baño en el fregadero.,
163,"oso, se, subir, árbol",El oso se sube al árbol.,El oso se suben el árbol.
164,"niño, le, dar, un, regalo, a, plancha",El niño le da un regalo a la plancha.,El niño le da un regalo a plancha
165,"niño, le, dar, un, regalo, a, su, padre",El niño le da un regalo a su padre.,El niño le da un regalo a su padre.
166,"mujeres, vestir, mantilla",Las mujeres se visten de mantilla.,Las mujeres visten mantillas.
167,"niño, leer, un, libro, con, linterna, debajo, de, sábana",El niño lee un libro con la linterna debajo de la sábana.,
168,"me, gustar, naranjas",Me gustan las naranjas.,Me gusta comer las naranjas.
169,"papá, conducir, un, avestruz",Papá conduce una avestruz.,El papá conduce un avestruz
170,"mono, pensar, plátano",El mono piensa en un plátano.,El mono piensa que el plátano es bueno.
171,"perro, dormir, en, cesta",El perro duerme en la cesta.,"El perro duerme en la cesta
Translation: El perro duerme en la cesta"
172,"querer, comer, melón, limón",Quiero comer melón y limón.,El niño quiere comer un melón y un limón.
173,"Juan, encontrar, castillo",Juan encontró un castillo.,Juan encuentra un castillo
174,"libro, estuche, estar, dentro, horno",El libro y el estuche están dentro del horno.,
175,"torero, mirar, toro",El torero mira al toro.,
176,"niña, aplaudir, con, manos",La niña aplaude con las manos.,
177,"duende, pintar, color, amarillo, casa, de, caracol",El duende pintó de color amarillo la casa del caracol.,El duende pintó en casa.
178,"niños, ir, colegio, autobús",Los niños van al colegio en autobús.,
179,"niño, escuchar, rana",El niño escucha a la rana.,
180,"yo, dormir, día",Yo duermo por el día.,
181,"globo, volar, encima, montaña",El globo vuela encima de las montañas.,El globo vuela encima de la montaña.
182,"chico, nadar, río",El chico nada en el rio.,chico nadando en el río
183,"esquimal, vivir, iglú",El esquimal vive en un iglú.,
184,"bolsa, fruta, se, romper",La bolsa de la fruta se ha roto.,
185,"niño, encender, luz",El niño enciende la luz.,
186,"mariposa, volar, campo",La mariposa vuela por el campo.,Mariposas que vuela en el campo
187,"abuelita, qué, boca, grande, tener",Abuelita qué boca grande tienes.,
188,"chica, nadar, piscina",La chica nada en la piscina.,nadando en la piscina
189,"Lolo, jugar, balón",Lolo juega con el balón.,
190,"María, ir, carnicería",María va a la carnicería.,
191,"alguien, romper, silla, pequeño",Alguien ha roto la silla pequeña.,
192,"niño, escuchar, música",El niño escucha música.,
193,"niño, escuchar, pájaro",El niño escucha el pájaro.,
194,"lobo, teñir, harina, su, patas",El lobo tiñó con harina sus patas.,"lobo, teñir, harina, su, patas"
195,"pata, ser, negro, peludo",La pata es negra y peluda.,El perro es negro y peludo
196,"comer, sopa, de, plato, pequeño",Come la sopa del plato pequeño.,"Comer, sopa, de, plato, pequeño"
197,"gato, dormir, encima, sofá",El gato duerme encima del sofá.,El gato duerme encima del sofá
198,"no, me, gustar, paté",No me gusta el paté.,No me gusta paté
199,"Rosa, tener, ropa, rojo",Rosa tiene ropa roja.,
200,"yo, dormir, en, lavadora",Yo duermo en la lavadora.,
201,"yo, querer, ir, baño",Yo quiero ir al baño.,
202,"mamá, cabra, ir, comprar",Mamá cabra va a comprar.,
203,"lobo, querer, comer, abuela",El lobo quiere comer a la abuela.,
204,"moto, estar, en, taller",La moto está en el taller.,
205,"lobo, querer, comer, caperucita",El lobo quiere comer a caperucita.,
206,"niño, estar, sentado, en, un, roca",La niña está sentada en una roca.,
207,"Enrique, me, regalar, un, ramo, de, rosas",Enrique me regaló un ramo de rosas.,
208,"tren, ir, vía",El tren va por la vía.,
209,"mujer, coger, melocotones, de, árbol, con, su, cesto",La mujer coge melocotones del árbol con su cesto.,
210,"gusano, seda, se, enamorar, ella",El gusano de seda se enamoró de ella.,
211,"Caperucita, asombrado, preguntar, abuela",Caperucita asombrada preguntó a la abuela.,
212,"zapatería, tener, mucho, zapato",Esa zapatería tiene muchos zapatos.,
213,"reyes, mago, traer, regalo",Los Reyes Magos traen regalo.,
214,"lobo, feroz, seguir, Caperucita",El lobo feroz siguió a Caperucita.,
215,"mayor, hacer, casa, piedra",El mayor hace una casa de piedra.,
216,"Tierra, ser, redondo",La Tierra es redonda.,
217,"gallo, cantar, noche",El gallo canta por la noche.,
218,"niño, jugar, con, tren",El niño juega con el tren.,
219,"perro, jugar, con, hueso",El perro juega con el hueso.,
220,"yo, jugar, parque, con, jabalí",Yo juego en el parque con el jabalí.,
221,"yo, querer, jugar, ordenador",Yo quiero jugar al ordenador.,
222,"cerdo, vivir, granja",El cerdo vive en la granja.,
223,"poner, lazo, en, rabo",Pone el lazo en el rabo.,
224,"mamá, leer, niña",Mamá lee con la niña.,
225,"yo, querer, comer",Yo quiero comer.,
226,"un, señora, viejecito, le, dar, un, borrador, mágico",Una señora viejecita les dio un borrador mágico.,
227,"siete, cabritillos, jugar, contento",Los siete cabritillos juegan contentos.,
228,"Juan, subir, planta",Juan subió por la planta.,
229,"niña, estar, sentado, en, roca",La niña está sentada en la roca.,
230,"libélula, volar, lago",La libélula vuela en el lago.,
231,"Pili, haber, meter, un, gol",Pili ha metido un gol.,
232,"avión, volar, encima, nubes",El avión vuela encima de las nubes.,El avión vuela encima de las nubes.
233,"Juán, se, llevar, gallina, arpa, mágico",Juán se llevó la gallina y el arpa mágica.,Juan se llevar a gallina con arpa.
234,"arreglar, tubería, con, tenazas",Arreglé la tubería con las tenazas.,El tubo está con las tenazas.
235,"niña, beber, batido, de, chocolate, con, dos, pajitas",La niña bebe un batido de chocolate con dos pajitas.,La niña bebió con dos batidos de chocolate.
236,"dos, coche, chocar, calle",Dos coches chocan en la calle.,El coche choca en la calle.
237,"lobo, comer, seis, cabritillos",El lobo come a seis cabritillos.,El lobo comi los seis cabritillos.
238,"niño, escuchar, vaca",El niño escucha la vaca.,El niño escucha a la vaquita.
239,"ser, comer, te",Es para comerte.,El niño se come te.
240,"pintor, pintar, mantel",El pintor pinta en el mantel.,El pintor pintó el mantel.
241,"Juan, vivir, su, mamá",Juan vivía con su mamá.,Juan vive con su mamá.
242,"señora, Pondia, plantar, flores",La señora Pondia planta flores.,La señora pondia plantar flores.
243,"Oscar, estar, en, bar",Oscar está en el bar.,Oscar está en la bar.
244,"chico, comer, bocadillo, de, calamares, con, mayonesa",El chico come bocadillo de calamares con mayonesa.,El chico comía el bocadillo de calamares con mayonesa.
245,"leñador, cazar, un, jabalí",El leñador cazó un jabalí.,El leñador cazar un jabalí
246,"Ricitos, de, Oro, tener, pelo, rubio",Ricitos de Oro tiene el pelo rubio.,Ricitos de oro tener pelo rubio
247,"niña, patinar, patines, casco",La niña patina con los patines y el casco.,La niña patina en los patines con casco.
248,"Ricitos, de, Oro, se, despertar, asustado",Ricitos de Oro se despertó asustada.,Ricitos de oro se despertar asustado
249,"Juan, cortar, planta",Juan cortó la planta.,Juan corta la planta
250,"niño, ir, lanzar, un, bola, de, nieve",El niño va a lanzar una bola de nieve.,"niño, ir, lanzar, una, bola, de, nieve"
251,"avión, rojo, volar, encima, nubes",El avión rojo vuela encima de las nubes.,El avión rojo vuela encima de las nubes.
252,"lobo, llamar, puerta",El lobo llama a la puerta.,El lobo llama a la puerta.
253,"papá, niño, pescar, con, caña, en, río",El papá y el niño pescan con la caña en el río.,El papá del niño pesca con caña en río.
254,"señor, Pondio, cuidar, animales",El señor Pondio cuida de los animals.,El señor pondio al cuidado de los animales.
255,"mamá, hacer, puré, con, batidora",Mamá hace puré con la batidora.,
256,"cortar, filete, con, tijeras",Corté el filete con tijeras.,El filete se corta con las tijeras.
257,"abuelita, qué, orejas, grande, tener",Abuelita qué orejas grandes tienes.,La orejas grande de la abuelita tiene.
258,"lobo, acostar, en, cama",El lobo se acuesta en la cama.,El lobo se acuesta en la cama.
259,"jirafa, correr, selva",La jirafa corre en la selva.,La jirafa corre en la selva.
260,"Rosa, ser, rubio",Rosa es rubia.,Rosa ser rubio
261,"niña, montar, triciclo",La niña monta en el triciclo.,
262,"Caperucita, se, entretener, coger, flores, para, abuelita",Caperucita se entretuvo cogiendo flores para la abuelita.,
263,"cabritillos, reconocer, piel, oscuro, de, lobo",Los cabritillos reconocieron la piel oscura del lobo.,
264,"cabrita, pequeño, se, esconder, debajo, de, cama",La cabrita pequeña se escondió debajo de la cama.,
265,"lobo, se, relamer, pensar, cabritillos",El lobo se relamía pensando en los cabritillos.,
266,"chico, nadar, mar",El chico nada en el mar.,
267,"niña, escuchar, música",La niña escucha música.,
268,"niño, escribir, ventana, con, dedo",El niño escribe en la ventana con el dedo.,
269,"guitarra, estar, carro",La guitarra está en el carro.,
270,"niña, comprar, ropa, en, tienda, de, ropa",La niña compra ropa en la tienda de ropa.,
271,"mamá, cabra, tener, siete, cabritillos",Mamá cabra tiene siete cabritillos.,
272,"ratita, guapo, te, querer, casar",Ratita guapa te quieres casar.,
273,"cerditos, estar, asustado",Los cerditos están asustados.,
274,"niños, jugar, corro",Los niños juegan al corro.,
275,"me, romper, tobillo, en, tobogán",Me rompí el tobillo en el tobogán.,
276,"cerditos, correr, rápido",Los cerditos corren rápido.,
277,"niño, leer, cuento, pinocho",El niño lee el cuento de pinocho.,
278,"Luna, estar, cielo",La Luna está en el cielo.,
279,"niña, comprar, con, carrito",La niña compra con el carrito.,
280,"niños, jugar, fútbol",Los niños juegan al fútbol.,
281,"planta, crecer",La planta creció.,
282,"niño, nadar, en, piscina",El niño nada en la piscina.,
283,"niña, pensar, bombilla",La niña piensa en una bombilla.,
284,"niña, aplaudir, pies",La niña aplaude con los pies.,
285,"niña, columpiar, columpio",La niña se columpia en el columpio.,
286,"delfines, tortuga, nadar, en, mar",Los delfines y la tortuga nadan en el mar.,
287,"gallo, cantar, mañana",El gallo canta por la mañana.,
288,"ogro, tener, un, arpa, mágico",El ogro tenía un arpa mágica.,
289,"pájaro, volar, cielo",El pájaro vuela por el cielo.,El pájaro vuela en el cielo
