,phrase,lemmas
70,El lobo come a seis cabritillos.,"lobo, comer, seis, cabritillos"
71,Arreglé la tubería con las tenazas.,"arreglar, tubería, con, tenazas"
72,El chico nada en el mar.,EMPTY
73,Su madrastra la hacía trabajar todo el día.,"madrastra, lo, hacer, trabajar, todo, día"
74,Los reyes magos traen regalo.,"reyes, mago, traer, regalo"
75,El osito coge el plato pequeño.,"osito, coger, plato, pequeño"
76,El caracol Ramón no sabe como vestirse.,"caracol, Ramó, no, saber, como, vestir, se"
77,El caracol se puso triste.,"caracol, se, poner, triste"
78,La casa de paja se rompe.,EMPTY
79,El esquimal vive en una cabaña.,EMPTY
80,El niño baja por el tobogán.,EMPTY
81,Los niños se reían.,"niños, se, reír"
82,El papá compra en el supermercado.,EMPTY
83,La lechera era una niña alegre y soñadora.,"lechera, ser, niña, alegre, soñador"
84,El lobo quiere comer a la abuela.,EMPTY
85,El pez nada en el mar.,EMPTY
86,El caracol sube al árbol.,"caracol, subir, árbol"
87,La niña monta en el triciclo.,EMPTY
88,El papá lee un cuento a la niña en la cama.,"papá, leer, un, cuento, a, niña, en, cama"
89,Miro el hilo con la lupa.,EMPTY
90,La tortuga nada en el mar.,EMPTY
91,El lobo dormía.,"lobo, dormir"
92,Los niños juegan en el parque.,"niños, jugar, parque"
93,Toma este tomate.,"tomar, este, tomate"
94,La bola es como una pelota.,EMPTY
95,El niño duerme con el osito.,"niño, dormir, osito"
96,El pintor pinta en el mantel.,EMPTY
97,El cerdo vive en la granja.,EMPTY
98,La gallina ponía huevos de oro.,"gallina, poner, huevos, de, oro"
99,El niño enciende la luz.,EMPTY
100,El niño juega con el tren.,EMPTY
101,Yo quiero jugar al ordenador.,"yo, querer, jugar, ordenador"
102,La señora Pondia planta flores.,"señora, Pondia, plantar, flores"
103,El gusano de seda se enamoró de ella.,"gusano, seda, se, enamorar, ella"
104,La vaca quería estudiar en la escuela.,"vaca, querer, estudiar, escuela"
105,Esa zapatería tiene muchos zapatos.,EMPTY
106,Quiero comer melón y limón.,EMPTY
107,Los chicos acabaron borricos.,"chicos, acabar, borrico"
108,El globo vuela encima de las montañas.,EMPTY
109,Mamá cabra va a comprar.,"mamá, cabra, ir, comprar"
110,Lolo juega con el balón.,EMPTY
111,Todos quedaron sorprendidos de su disfraz tan bonito.,"todos, quedar, sorprendido, de, su, disfraz, tan, bonito"
112,Yo me baño en el fregadero.,EMPTY
113,Papá Noel va en trineo con renos.,"Papá, Noel, ir, trineo, con, renos"
114,Ratita guapa te quieres casar.,"ratita, guapo, te, querer, casar"
115,Los Reyes magos van en camello.,"Reyes, mago, ir, camello"
116,El lobo llamó a la puerta.,"lobo, llamar, puerta"
117,El cerdito va a jugar.,"cerdito, ir, jugar"
118,El niño mira la mariposa con la lupa.,EMPTY
119,Los cerditos ven al lobo.,"cerditos, ver, lobo"
120,El ruiseñor canta en la rama.,EMPTY
121,Me gusta el filete con patatas.,"me, gustar, filete, con, patatas"
122,Papá conduce una avestruz.,"papá, conducir, un, avestruz"
123,La niña bebe un batido de chocolate con dos pajitas.,"niña, beber, batido, de, chocolate, con, dos, pajitas"
124,La niña escribe con un lápiz en el papel.,EMPTY
125,Los niños juegan con las construcciones.,EMPTY
126,Pone el lazo en el rabo.,"poner, lazo, en, rabo"
127,Me rompí el tobillo en el tobogán.,"me, romper, tobillo, en, tobogán"
128,Tenían una vaca vieja.,"tener, un, vaca, viejo"
129,La chica merienda bocadillo de chorizo y leche.,EMPTY
130,Ricitos de Oro está cansada.,"Ricitos, de, Oro, estar, cansadi"
131,María va a la carnicería.,EMPTY
132,El niño lee el cuento de pinocho.,EMPTY
133,El tenedor está en el comedor.,EMPTY
134,Nora es morena.,"Nora, ser, moreno"
135,El perro fue por la carretera.,"perro, ir, carretera"
136,El perro duerme en la cesta.,EMPTY
137,El ogro tenía una gallina mágica.,"ogro, tener, un, gallina, mágico"
138,La niña está sentada en un sillón rojo.,"niña, estar, sentado, en, un, sillón, rojo"
139,Imanol va al hotel.,EMPTY
140,La niña nada en la biblioteca.,EMPTY
141,El avión vuela encima de las nubes.,EMPTY
142,Dos coches chocan en la calle.,EMPTY
143,Oscar está en el bar.,EMPTY
144,La planta creció.,"planta, crecer"
145,El dinero está en el monedero.,EMPTY
146,La niña lleva un paraguas.,EMPTY
147,La mamá baña al bebé.,"mamá, bañar, bebé"
148,La rana subió a la rama.,"rana, subir, rama"
149,Abuelita qué ojos grandes tienes.,"abuelita, qué, ojos, grande, tener"
150,Los Reyes Magos traen regalo.,"reyes, mago, traer, regalo"
151,Los gatos duermen debajo de los árboles.,EMPTY
152,El caballo corre en el mar.,EMPTY
153,El lobo se acuesta en la cama.,EMPTY
154,La mariposa vuela por el campo.,EMPTY
155,Los cabritillos reconocieron la piel oscura del lobo.,"cabritillos, reconocer, piel, oscuro, de, lobo"
156,El lobo llegó primero.,"lobo, llegar, primero"
157,Juan cortó la planta.,"Juan, cortar, planta"
158,Mamá cabra tiene siete cabritillos.,"mamá, cabra, tener, siete, cabritillos"
159,Juán se llevó la gallina y el arpa mágica.,"Juán, se, llevar, gallina, arpa, mágico"
160,Los niños juegan con el barco y el tren.,"niños, jugar, barco, tren"
161,La maleta está en el salón.,EMPTY
162,El pájaro nada por el mar.,EMPTY
163,La mujer coge melocotones del árbol con su cesto.,"mujer, coger, melocotones, de, árbol, con, su, cesto"
164,Los niños juegan con la pelota.,EMPTY
165,El lobo quiere comer a caperucita.,EMPTY
166,Los delfines y la tortuga nadan en el mar.,EMPTY
167,La madrastra no deja ir a Cenicienta a la fiesta.,"madrastra, no, dejar, ir, Cenicienta, a, fiesta"
168,Alguien ha roto la silla pequeña.,EMPTY
169,Laura y Malena son gemelas.,"Laura, Malena, ser, gemelo"
170,Esta es Caperucita Roja.,"este, ser, Caperuza, Roja"
171,El lobo se relamía pensando en los cabritillos.,"lobo, se, relamer, pensar, cabritillos"
172,Mamá lee con la niña.,EMPTY
173,La niña está sentada en las escaleras.,"niña, estar, sentado, escaleras"
174,¿Qué llevas en la cesta?,"qué, llevar, cesta, ?"
175,Juan se encontró con un mago.,"Juan, se, encontrar, un, mago"
176,El lobo feroz siguió a Caperucita.,"lobo, feroz, seguir, Caperucita"
177,Los cerditos viven felices.,"cerditos, vivir, feliz"
178,La niña entra al tren.,"niña, entrar, tren"
179,La niña tiene las manos pintadas.,EMPTY
180,La niña escucha música.,EMPTY
181,La chica nada en la piscina cubierta.,EMPTY
182,Los niños van al colegio en autobús.,EMPTY
183,Es para comerte.,"ser, comer, te"
184,Las mujeres se visten de mantilla.,EMPTY
185,Los niños aprenden en el colegio.,EMPTY
186,Ese rey es de rusia.,EMPTY
187,Los niños juegan con la nieve.,EMPTY
188,Juan subió por la planta.,"Juan, subir, planta"
189,El cerdito corre rápido.,"cerdito, correr, rápido"
190,El lagarto está en la lavadora.,EMPTY
191,La niña está sentada en la roca.,"niña, estar, sentado, en, roca"
192,¿qué llevas en la cesta?,"qué, llevar, cesta, ?"
193,El libro y el estuche están dentro de la mochila.,EMPTY
194,La moto está en el taller.,EMPTY
195,Blancanieves corre al bosque.,"Blancanieves, correr, bosque"
196,El niño escucha el gato.,EMPTY
197,Marina es bailarina.,"Marina, ser, bailarín"
198,Dorita vivía en una granja con sus tíos y su perrito Totó.,"Dorita, vivir, un, granja, con, su, tíos, su, perrito, Totó"
199,El niño le da un regalo a su padre.,"niño, le, dar, un, regalo, a, su, padre"
200,La niña compra con el carrito.,EMPTY
201,Voy a casa mi de abuela.,EMPTY
202,El cabritillo pequeño está en el reloj.,"cabritillo, pequeño, estar, reloj"
203,El chico nada en el rio.,EMPTY
204,La niña bebe en el vaso.,"niña, beber, vaso"
205,Yo quiero ir a la Luna.,"yo, querer, ir, Luna"
206,El gato besa a la ratita.,"gato, besar, ratita"
207,El lobo quiere comerlos.,"lobo, querer, comer, lo"
208,El niño escucha la vaca.,EMPTY
209,El ogro se cayó.,"ogro, se, caer"
210,La burra cayó al barro.,"burro, caer, barro"
211,La niña patina con los patines y el casco.,"niña, patinar, patines, casco"
212,El tren va por el mar.,"tren, ir, mar"
213,El arpa produjo diamantes.,"arpa, producir, diamantes"
214,Juan cambió la vaca por habichuelas mágicas.,"Juan, cambiar, vaca, por, habichuelas, mágico"
215,El niño va a lanzar una bola de nieve.,"niño, ir, lanzar, un, bola, de, nieve"
216,Yo escribo una carta para los Reyes Magos.,"yo, escribir, un, carta, para, Reyes, mago"
217,Los niños saltan en la cama.,"niños, saltar, cama"
218,El lobo llama a la puerta.,EMPTY
219,El perro y el gato son pequeñitos.,"perro, gato, ser, pequeñitos"
220,La gallina puso huevos de oro.,"gallina, poner, huevod, de, oro"
221,La niña aplaude con las manos.,EMPTY
222,Yo juego en el parque con los niños.,EMPTY
223,Su mamá se enfadó.,"su, mamá, se, enfadar"
224,Los niños juegan al fútbol.,"niños, jugar, fútbol"
225,Otra hija era Saturno.,"otro, hija, ser, Saturno"
226,Papá oso coge el plato grande.,"papá, oso, coger, plato, grande"
227,Los tres osos vuelven a casa.,"tres, osos, volver, casa"
228,Ricitos de Oro se despertó asustada.,"Ricitos, de, Oro, se, despertar, asustado"
229,La planta llegó hasta el cielo.,"planta, llegar, cielo"
230,La guitarra está en el carro.,EMPTY
231,Los niños van al colegio en avión.,EMPTY
232,El libro y el estuche están dentro del horno.,EMPTY
233,El burro saluda a la ratita.,"burro, saludar, ratita"
234,Las niñas corren con la cometa.,"niñas, correr, cometa"
235,Las ovejas tienen mucha lana.,EMPTY
236,La niña aplaude con los pies.,EMPTY
237,Los delfines nadan en el mar.,EMPTY
238,Yo duermo por la noche.,"yo, dormir, noche"
239,El lobo tiñó con harina sus patas.,"lobo, teñir, harina, su, patas"
240,Mamá corta la barriga del lobo.,"mamá, cortar, barriga, de, lobo"
241,Ricitos de Oro duerme en la cama.,"Ricitos, de, Oro, dormir, cama"
242,El ogro se fue.,"ogro, se, ir"
243,Su madre la encontró llorando.,"su, madre, la, encontrar, llorar"
244,Yo quiero comer.,EMPTY
245,Ricitos de Oro tiene el pelo rubio.,"Ricitos, de, Oro, tener, pelo, rubio"
246,El niño escucha música.,EMPTY
247,Los cabritillos fueron felices.,"cabritillos, ser, feliz"
248,Yo me baño con agua y con jabón.,"yo, me, bañar, agua, con, jabón"
249,El bebé pasea en el coche.,EMPTY
250,El policía puso una multa.,"policía, poner, un, multa"
251,El niño lee un libro con la linterna debajo de la sábana.,"niño, leer, un, libro, con, linterna, debajo, de, sábana"
252,Abuelita qué orejas grandes tienes.,"abuelita, qué, orejas, grande, tener"
253,El niño monta en el cerdo.,EMPTY
254,Mamá oso coge el plato mediano.,"mamá, oso, coger, plato, mediano"
255,El perro juega con el hueso.,EMPTY
256,La niña habla por teléfono.,EMPTY
257,La Tierra es redonda.,"Tierra, ser, redondo"
258,El tren va por la carretera.,"tren, ir, carretera"
259,Juan encontró un castillo.,"Juan, encontrar, castillo"
260,Marcelina está montando el belén en su casa.,"Marcelina, estar, montar, belén, en, su, casa"
261,Los amigos de la bruja lo vieron bailar.,"amigos, de, bruja, lo, ver, bailar"
262,El niño pasea por la calle.,"niño, pasear, calle"
263,Mamá mete piedras en la barriga.,"mamá, meter, piedras, en, barriga"
264,No lo cambiaré.,"no, lo, cambiar"
265,Me pica la nariz y la oreja.,"me, picar, nariz, oreja"
266,La mariposa se puso furiosa.,"mariposa, se, poner, furioso"
267,La niña bebe con la pajita.,EMPTY
268,Cayó sal al mantel.,"caer, sal, a, mantel"
269,El gallo canta por la noche.,"gallo, cantar, noche"
270,Los cerditos no tienen dónde esconderse.,"cerditos, no, tener, dónde, esconder, se"
271,Me gustan los churros rellenos.,"me, gustar, churros, relleno"
272,Yo quiero ir al baño.,"yo, querer, ir, baño"
273,La niña está sentada en una roca.,"niño, estar, sentado, en, un, roca"
274,Caperucita asombrada preguntó a la abuela.,"Caperucita, asombrado, preguntar, abuela"
275,¿Quién es la más guapa?,"quién, ser, más, guapo, ?"
276,El pescador está en el mar.,EMPTY
277,¿a dónde vas Caperucita?,"a, dónde, ir, Caperucita"
278,El niño nada en la piscina.,EMPTY
279,El lobo va al molino.,EMPTY
280,No me gusta el paté.,"no, me, gustar, paté"
281,La bolsa de la fruta se ha roto.,EMPTY
282,La niña se columpia en el columpio.,EMPTY
283,¿quién es la más guapa?,"quién, ser, más, guapo, ?"
284,El gato duerme encima de la guitarra.,EMPTY
285,La ratita compra un lazo.,"ratita, comprar, un, lazo"
286,Juan vivía con su mamá.,"Juan, vivir, su, mamá"
287,El perro pasea con el collar.,"perro, pasear, collar"
288,El cazador asustó al lobo.,"cazador, asustar, lobo"
289,Enrique me regaló un ramo de rosas.,"Enrique, me, regalar, un, ramo, de, rosas"
290,El papá y el niño pescan con la caña en el río.,EMPTY
291,El niño escucha a la rana.,EMPTY
292,La niña compra ropa en la tienda de ropa.,"niña, comprar, ropa, en, tienda, de, ropa"
293,El chico come bocadillo de calamares con mayonesa.,"chico, comer, bocadillo, de, calamares, con, mayonesa"
294,El avión rojo vuela encima de las nubes.,EMPTY
295,Mamá hace puré con la batidora.,EMPTY
296,La libélula vuela en el lago.,"libélula, volar, lago"
297,Solo estudiaba la vaca.,"solo, estudiar, vaca"
298,Son para verte bien.,"ser, ver, te, bien"
299,Juan y su mamá vivieron felices.,"Juan, su, mamá, vivir, feliz"
300,Yo me baño en la bañera.,EMPTY
301,Come la sopa del plato pequeño.,"comer, sopa, de, plato, pequeño"
302,El leñador cazó un jabalí.,"leñador, cazar, un, jabalí"
303,La cabrita pequeña se escondió debajo de la cama.,"cabrita, pequeño, se, esconder, debajo, de, cama"
304,Ese señor va a pasear al pinar.,"ese, señor, ir, pasear, a, pinar"
305,Son para oirte bien.,"ser, para, oir, te, bien"
306,La ratita barre su casita.,"ratita, barrer, su, casita"
307,El pez nada en la bañera.,EMPTY
308,Ricitos de Oro duerme en la cama pequeña.,"Ricitos, de, Oro, dormir, cama, pequeño"
309,Me duele el colmillo.,"me, doler, colmillo"
310,Los niños juegan con las hojas de los árboles.,EMPTY
311,Me gusta la pandereta.,"me, gustar, pandereta"
312,Rosa es rubia.,"Rosa, ser, rubio"
313,El gallo canta por la mañana.,"gallo, cantar, mañana"
314,El niño escucha el pájaro.,EMPTY
315,El niño juega con el barco.,EMPTY
316,Esta es Ricitos de Oro.,"este, ser, Ricitos, de, Oro"
317,Todos los niños se asustaron.,"todo, niños, se, asustar"
318,Tiene la pata blanca como mamá.,"tener, pata, blanco, como, mamá"
319,El niño escribe en la ventana con el dedo.,"niño, escribir, ventana, con, dedo"
320,El gato duerme encima del armario.,EMPTY
321,La niña piensa en una bombilla.,EMPTY
322,Caperucita y la abuela fueron felices.,"Caperucita, abuela, ser, feliz"
323,El papá abre la puerta del coche con la llave.,"papá, abrir, puerta, de, coche, con, llave"
324,El perro ve a la ratita.,"perro, ver, ratita"
325,Los cerditos corren rápido.,"cerditos, correr, rápido"
326,El gato come a la ratita.,"gato, comer, ratatita"
327,Anabel pinta en el papel.,"Anabel, pintar, papel"
328,La niña sube a la escalera.,"niña, subir, escalera"
329,Ricitos de Oro entra en una casa.,"Ricitos, de, Oro, entrar, un, casa"
330,El loro mira al caracol.,EMPTY
331,El domingo de ramos vamos a ver la borriquita.,"domingo, de, ramos, ir, ver, borriquita"
332,La chica nada en la piscina.,EMPTY
333,¿A dónde vas Caperucita?,"a, dónde, ir, Caperucita"
334,La mamá le compra una muñeca a la niña.,"mamá, le, comprar, muñeca, niño"
335,La niña juega con el agua.,EMPTY
336,El lunes comeré lentejas.,"lunes, comer, lentejas"
337,El gato duerme encima del sofá.,EMPTY
338,Los cerditos están asustados.,"cerditos, estar, asustado"
339,Yo hago pis en el váter.,"yo, hacer, pis, en, váter"
