Column1;lemmas;real phrases;generated phrases
156;"Ramón, give, me, a, red, rose";Ramón gave me a red rose.;Ramón, give, me, a, red, rose
157;"Juan, meet, a, magician";Juan met a magician.;Juan meets a magician
158;"butterfly, be, furious";The butterfly was furious.;The butterfly is furious
159;"girl, play, water";The girl plays with water.;girl play with water
160;"girl, clap, her, hands";The girl claps with her hands.;girl clap her hands
161;"moon, be, sky";The moon is in the sky.;The moon is in the sky
162;"girl, write, a, pencil, on, paper";The girl writes with a pencil on paper.;The girl writes a pencil on paper
163;"children, go, school, by, bus";Children go to school by bus.;The children go to school by bus
164;"someone, break, small, chair";Someone has broken the small chair.;
165;"his, mother, get, angry";His mother got angry.;His mother gets angry
166;"boy, listen, cat";The boy listens to the cat.;boy, listen, cat
167;"go, grandmother's house";I go to my grandmother's house.;go to grandmother's house
168;"ferocious, wolf, follow, Little Red Riding Hood";The ferocious wolf followed Little Red Riding Hood.;Little Red Riding Hood followed the wolf to the forest
169;"wolf, eat, it";The wolf wants to eat it.;wolf eat it
170;"Imanol, go, hotel";Imanol goes to the hotel.;
171;"wolf, eat, kids";The wolf wants to eat the kids.;wolf eat kids
172;"motorcycle, be, workshop";The motorcycle is in the workshop.;
173;"plant, reach, sky";The plant reached the sky.;
174;"boy, swim, sea";The boy swims in the sea.;boy swim in the sea
175;"witch's friends, see, him, dance";The witch's friends saw him dancing.;The witch's friend, see, him, dance
176;"children, laugh";The children laughed.;children laugh
177;"Juan, his, mother, live, happily";Juan and his mother lived happily.;Juan's mother lives happily
178;"sleep, washing, machine";I sleep in the washing machine.;I'm going to the washing machine to sleep
179;"children, play, leaves, of, trees";The children play with the leaves of the trees.;The children play with the leaves of the trees
180;"girl, swim, library";The girl swims in the library.;girl swim in the library
181;"that, shoe, store, have, many, shoes";That shoe store has many shoes.;The store has many shoes
182;"wolf, dye, its, legs, with, flour";The wolf dyed its legs with flour.;The wolf with its legs dyed with flour
183;"baby, drink, bottle";The baby drinks in the bottle.;baby drink bottle
184;"granny, what, big, eyes, you, have";Granny what big eyes you have.;What big eyes you have, granny
185;"boy, turn, light";The boy turns on the light.;boy turns light
186;"Juan, go, plant";Juan went down the plant.;Juan, go, plant
187;"dad, child, fish, reed, in, river";Dad and the child fish with the reed in the river.;The child of the dad is in the river with the fish
188;"cat, look, fish";The cat looks at the fish.;The cat looks at the fish
189;"Three Wise Men, bring, a, gift";The Three Wise Men bring a gift.;Three wise men bring a gift
190;"daddy, swim, pool";Daddy swims in the pool.;Daddy swims in the pool
191;"monkey, think, a, banana";The monkey thinks of a banana.;The monkey thinks about the banana
192;"like, stuffed, churros";I like stuffed churros.;like churros
193;"child, read, a, book, with, flashlight";The child reads a book with the flashlight under the sheet.;child read a book with flashlight
194;"boy, swim, river";The boy swims in the river.;boy swim in the river
195;"another, daughter, be, Saturn";Another daughter was Saturn.;another daughter be in the Saturn
196;"girl, ride, tricycle";The girl rides on the tricycle.;The girl rides the tricycle
197;"dog, play, bone";The dog plays with the bone.;The dog plays with the bone
198;"dog, sleep, basket";The dog sleeps in the basket.;The dog sleeps in the basket
199;"child, sleep, little, bear";The child sleeps with the little bear.;The little bear sleeps in the child's room
200;"break, my, ankle, on, slide";I broke my ankle on the slide.;
201;"kids, play, ball";The kids play with the ball.;kids play with a ball
202;"granny, what, a, big, mouth, you, have";Granny what a big mouth you have.;You have a big mouth, granny
203;"wolf, eat, grandma";The wolf wants to eat grandma.;wolf eat grandma
204;"bullfighter, look, bull";The bullfighter looks at the bull.;The bullfighter looked at the bull.
205;"plant, grow";The plant grew.;plant a plant
206;"girl, think, a, light, bulb";The girl thinks of a light bulb.;A girl thinks a light bulb
207;"play, park, with, children";I play in the park with the children.;The children play in the park with a dog
208;"harp, produce, diamonds";The harp produced diamonds.;The harp is a musical instrument that produces diamonds.
209;"want, to, play, computer";I want to play on the computer.;I want to play on the computer
210;"Little Red Riding Hood, stunned, ask, grandmother";Little Red Riding Hood stunned asked the grandmother.;
211;"girl, have, Painted, hands";The girl has painted hands.;The girl has painted hands
212;"eat, lentils, on, Monday";On Monday I will eat lentils.;I eat lentils on Monday
213;"balloon, fly, mountains";The balloon flies over the mountains.;The balloon flies over the mountains
214;"cat, sleep, couch";The cat sleeps on the couch.;The cat sleeps on the couch
215;"her, stepmother, make, her, work, all, day";Her stepmother made her work all day.;Her stepmother makes her work all day
216;"horse, run, sea";The horse runs in the sea.;The horse runs to the sea
217;"children, play, snow";Children play with snow.;children play in the snow
218;"dolphins, swim, sea";Dolphins swim in the sea.;Dolphins swim in the sea
219;"what, you, carry, basket, ?";What are you carrying in the basket?;what you carry in the basket
