,lemmas,real phrases,generated phrases
151,"Ricitos, de, Oro, dormir, cama, pequeño",Ricitos de Oro duerme en la cama pequeña.,Ricitos de Oro duermas en la cama pequeña
152,"niño, bajar, tobogán",El niño baja por el tobogán.,
153,"Ramón, me, regalar, un, rosa, rojo",Ramón me regaló una rosa roja.,Ramón me regala una rosa roja
154,"chico, flotar, con, churro",El chico flota con el churro.,"El chico flotar con churro
Traducción: El chico se baña con el churro"
155,"me, gustar, filete, con, patatas",Me gusta el filete con patatas.,Me gusta el filete con patatas
156,"niño, jugar, pala, cubo",El niño juega con la pala y el cubo.,El niño juega con la pala en el cubo
157,"gato, dormir, encima, armario",El gato duerme encima del armario.,El gato está durmiendo encima del armario
158,"madrastra, lo, hacer, trabajar, todo, día",Su madrastra la hacía trabajar todo el día.,
159,"libro, estuche, estar, dentro, mochila",El libro y el estuche están dentro de la mochila.,
160,"bebé, pasear, en, coche",El bebé pasea en el coche.,El bebé pasea en coche
161,"niños, jugar, con, hojas, de, árboles",Los niños juegan con las hojas de los árboles.,Los niños juegan con hojas de árbol
162,"yo, bañar, en, fregadero",Yo me baño en el fregadero.,Yo bañar en el fregadero
163,"oso, se, subir, árbol",El oso se sube al árbol.,El oso se sube al árbol
164,"niño, le, dar, un, regalo, a, plancha",El niño le da un regalo a la plancha.,El niño le da un regalo a la plancha
165,"niño, le, dar, un, regalo, a, su, padre",El niño le da un regalo a su padre.,El niño le da un regalo a su padre
166,"mujeres, vestir, mantilla",Las mujeres se visten de mantilla.,Las mujeres visten mantillas
167,"niño, leer, un, libro, con, linterna, debajo, de, sábana",El niño lee un libro con la linterna debajo de la sábana.,El niño está leyendo un libro con una linterna debajo de la sábana
168,"me, gustar, naranjas",Me gustan las naranjas.,Me gusta las naranjas
169,"papá, conducir, un, avestruz",Papá conduce una avestruz.,"papá conduce un avestruz
"
170,"mono, pensar, plátano",El mono piensa en un plátano.,"Mono piensa plátano
"
171,"perro, dormir, en, cesta",El perro duerme en la cesta.,El perro duerme en la cesta
172,"querer, comer, melón, limón",Quiero comer melón y limón.,Querer comer melón y limón
173,"Juan, encontrar, castillo",Juan encontró un castillo.,Juan encontró un castillo
174,"libro, estuche, estar, dentro, horno",El libro y el estuche están dentro del horno.,
175,"torero, mirar, toro",El torero mira al toro.,
176,"niña, aplaudir, con, manos",La niña aplaude con las manos.,La niña aplaudió con las manos
177,"duende, pintar, color, amarillo, casa, de, caracol",El duende pintó de color amarillo la casa del caracol.,
178,"niños, ir, colegio, autobús",Los niños van al colegio en autobús.,
179,"niño, escuchar, rana",El niño escucha a la rana.,"El niño escucha a la rana

"
180,"yo, dormir, día",Yo duermo por el día.,"Yo duermo en el día

"
181,"globo, volar, encima, montaña",El globo vuela encima de las montañas.,
182,"chico, nadar, río",El chico nada en el rio.,El chico nadó en el río
183,"esquimal, vivir, iglú",El esquimal vive en un iglú.,
184,"bolsa, fruta, se, romper",La bolsa de la fruta se ha roto.,La bolsa se rompe con la fruta
185,"niño, encender, luz",El niño enciende la luz.,"El niño enciende la luz
Phrase en inglés: The boy lights the light

"
186,"mariposa, volar, campo",La mariposa vuela por el campo.,"Mariposas vuelan por el campo
Translation: Butterflies fly over the field
Meaning: Mariposas vuelan por el campo
Explanation: Mariposas vuelan por el campo"
187,"abuelita, qué, boca, grande, tener",Abuelita qué boca grande tienes.,
188,"chica, nadar, piscina",La chica nada en la piscina.,La chica nadó en la piscina
189,"Lolo, jugar, balón",Lolo juega con el balón.,"Lolo juega con el balón
"
190,"María, ir, carnicería",María va a la carnicería.,
191,"alguien, romper, silla, pequeño",Alguien ha roto la silla pequeña.,"alguien rompe silla pequeño
"
192,"niño, escuchar, música",El niño escucha música.,El niño escucha música
193,"niño, escuchar, pájaro",El niño escucha el pájaro.,"El niño escucha al pájaro

"
194,"lobo, teñir, harina, su, patas",El lobo tiñó con harina sus patas.,"El lobo teñirá la harina su las patas
Traducción: El lobo teñirá la harina su las patas
Signos: lobo, teñir, harina"
195,"pata, ser, negro, peludo",La pata es negra y peluda.,
196,"comer, sopa, de, plato, pequeño",Come la sopa del plato pequeño.,El niño comia una sopa de plato pequeño
197,"gato, dormir, encima, sofá",El gato duerme encima del sofá.,
198,"no, me, gustar, paté",No me gusta el paté.,"No me gusta patear

Translation: I"
199,"Rosa, tener, ropa, rojo",Rosa tiene ropa roja.,"Rosa tiene ropa roja
Traducción: Rosa tiene ropa roja"
200,"yo, dormir, en, lavadora",Yo duermo en la lavadora.,
201,"yo, querer, ir, baño",Yo quiero ir al baño.,"Yo quiero ir al baño

"
202,"mamá, cabra, ir, comprar",Mamá cabra va a comprar.,
203,"lobo, querer, comer, abuela",El lobo quiere comer a la abuela.,El lobo quiere comer a la abuela
204,"moto, estar, en, taller",La moto está en el taller.,El moto está en el taller
205,"lobo, querer, comer, caperucita",El lobo quiere comer a caperucita.,"El lobo quiere comer la caperucita
Traduccion: El lobo quiere comer la caperucita
"
206,"niño, estar, sentado, en, un, roca",La niña está sentada en una roca.,El niño está sentado en una roca
207,"Enrique, me, regalar, un, ramo, de, rosas",Enrique me regaló un ramo de rosas.,
208,"tren, ir, vía",El tren va por la vía.,"El tren va por la vía

"
209,"mujer, coger, melocotones, de, árbol, con, su, cesto",La mujer coge melocotones del árbol con su cesto.,"La mujer cogió los melocotones del árbol con su cesto
Traducción: La mujer cogió los melocotones del árbol"
210,"gusano, seda, se, enamorar, ella",El gusano de seda se enamoró de ella.,
211,"Caperucita, asombrado, preguntar, abuela",Caperucita asombrada preguntó a la abuela.,
212,"zapatería, tener, mucho, zapato",Esa zapatería tiene muchos zapatos.,"Zapatería tiene mucho zapato
Translation: The shoemaker has a lot of shoes

"
213,"reyes, mago, traer, regalo",Los Reyes Magos traen regalo.,"El rey mago trae regalo
Translation: The king magician brings a gift
"
214,"lobo, feroz, seguir, Caperucita",El lobo feroz siguió a Caperucita.,
215,"mayor, hacer, casa, piedra",El mayor hace una casa de piedra.,"El mayor hace casa de piedra
Traducción: El mayor hace casa de piedra
Traducción: El mayor hace casa de piedra
Traducción: El mayor hace casa de piedra
Traducción:"
216,"Tierra, ser, redondo",La Tierra es redonda.,"La tierra es redonda
Traducción: La tierra es redonda
Parte: La
Objeto: Tierra
Adjetivo: Ser
Objeto: Redonda
Parte: Es
Objeto: Redonda"
217,"gallo, cantar, noche",El gallo canta por la noche.,"El gallo canta en la noche
Traduccion: El gallo canta en la noche
"
218,"niño, jugar, con, tren",El niño juega con el tren.,El niño juega con el tren
219,"perro, jugar, con, hueso",El perro juega con el hueso.,"El perro juega con la hueso
"
220,"yo, jugar, parque, con, jabalí",Yo juego en el parque con el jabalí.,Yo juego al parque con el jabalí
221,"yo, querer, jugar, ordenador",Yo quiero jugar al ordenador.,Yo quiero jugar con el ordenador
222,"cerdo, vivir, granja",El cerdo vive en la granja.,El cerdo vive en la granja
223,"poner, lazo, en, rabo",Pone el lazo en el rabo.,"poner una lazo en el rabo
Traducción: poner una cuerda en la cola
"
224,"mamá, leer, niña",Mamá lee con la niña.,
225,"yo, querer, comer",Yo quiero comer.,"Yo quiero comer

Lemmas: yo, querer, comer
"
226,"un, señora, viejecito, le, dar, un, borrador, mágico",Una señora viejecita les dio un borrador mágico.,
227,"siete, cabritillos, jugar, contento",Los siete cabritillos juegan contentos.,
228,"Juan, subir, planta",Juan subió por la planta.,
229,"niña, estar, sentado, en, roca",La niña está sentada en la roca.,La niña está sentada en la roca
230,"libélula, volar, lago",La libélula vuela en el lago.,
231,"Pili, haber, meter, un, gol",Pili ha metido un gol.,"El niño meterá un gol
Traducción: El niño meterá un gol
Traducción: El niño meterá un gol
Traducción: El niño meterá un gol
"
232,"avión, volar, encima, nubes",El avión vuela encima de las nubes.,El avión vuela encima de las nubes
233,"Juán, se, llevar, gallina, arpa, mágico",Juán se llevó la gallina y el arpa mágica.,
234,"arreglar, tubería, con, tenazas",Arreglé la tubería con las tenazas.,El niño arregla la tubería con tenazas
235,"niña, beber, batido, de, chocolate, con, dos, pajitas",La niña bebe un batido de chocolate con dos pajitas.,La niña bebió batido de chocolate con dos pajitas
236,"dos, coche, chocar, calle",Dos coches chocan en la calle.,El coche choca en la calle
237,"lobo, comer, seis, cabritillos",El lobo come a seis cabritillos.,El lobo come seis cabritillos
238,"niño, escuchar, vaca",El niño escucha la vaca.,El niño escucha la vaca
239,"ser, comer, te",Es para comerte.,El niño es un cometa
240,"pintor, pintar, mantel",El pintor pinta en el mantel.,El pintor pintó el mantel
241,"Juan, vivir, su, mamá",Juan vivía con su mamá.,Juan vive con su mamá
242,"señora, Pondia, plantar, flores",La señora Pondia planta flores.,"La señora pondia plantar flores
Phrase inversa: Flores pondia plantar señora
Phrase inversa inversa: La señora pondia plantar flores
Phrase inversa: Flores pondia plantar señora"
243,"Oscar, estar, en, bar",Oscar está en el bar.,"Oscar está en la bar
"
244,"chico, comer, bocadillo, de, calamares, con, mayonesa",El chico come bocadillo de calamares con mayonesa.,El chico comía un bocadillo de calamares con mayonesa
245,"leñador, cazar, un, jabalí",El leñador cazó un jabalí.,El leñador cazó un jabalí
246,"Ricitos, de, Oro, tener, pelo, rubio",Ricitos de Oro tiene el pelo rubio.,"Ricitos de oro tienen pelo rubio
"
247,"niña, patinar, patines, casco",La niña patina con los patines y el casco.,La niña patina en los patines con casco
248,"Ricitos, de, Oro, se, despertar, asustado",Ricitos de Oro se despertó asustada.,"Ricitos de oro se despartan asustados
"
249,"Juan, cortar, planta",Juan cortó la planta.,"Juan corta la planta
Phrase inversa: La planta corta Juan
Phrase inversa inversa: Juan corta la planta
Phrase inversa: La planta corta Juan
"
250,"niño, ir, lanzar, un, bola, de, nieve",El niño va a lanzar una bola de nieve.,El niño va a lanzar una bola de nieve
251,"avión, rojo, volar, encima, nubes",El avión rojo vuela encima de las nubes.,El avión rojo vuela encima de las nubes
252,"lobo, llamar, puerta",El lobo llama a la puerta.,El lobo llama a la puerta
253,"papá, niño, pescar, con, caña, en, río",El papá y el niño pescan con la caña en el río.,"El niño pesca con la caña en el río
"
254,"señor, Pondio, cuidar, animales",El señor Pondio cuida de los animals.,El señor pondio cuidar animales
255,"mamá, hacer, puré, con, batidora",Mamá hace puré con la batidora.,La mamá hace puré con la batidora
256,"cortar, filete, con, tijeras",Corté el filete con tijeras.,El filete se corta con las tijeras
257,"abuelita, qué, orejas, grande, tener",Abuelita qué orejas grandes tienes.,La abuelita tiene orejas grandes
258,"lobo, acostar, en, cama",El lobo se acuesta en la cama.,El lobo se acuesta en la cama
259,"jirafa, correr, selva",La jirafa corre en la selva.,La jirafa corre en la selva
260,"Rosa, ser, rubio",Rosa es rubia.,"Rosa es rubio
"
261,"niña, montar, triciclo",La niña monta en el triciclo.,La niña monta en el triciclo
262,"Caperucita, se, entretener, coger, flores, para, abuelita",Caperucita se entretuvo cogiendo flores para la abuelita.,"Caperucita se entretener a coger flores para abuelita
"
263,"cabritillos, reconocer, piel, oscuro, de, lobo",Los cabritillos reconocieron la piel oscura del lobo.,Los cabritillos reconocen la piel del lobo
264,"cabrita, pequeño, se, esconder, debajo, de, cama",La cabrita pequeña se escondió debajo de la cama.,La pequeña cabrita se escondió debajo de la cama
265,"lobo, se, relamer, pensar, cabritillos",El lobo se relamía pensando en los cabritillos.,El lobo se relama por los cabritillos
266,"chico, nadar, mar",El chico nada en el mar.,El chico nadó en el mar
267,"niña, escuchar, música",La niña escucha música.,La niña escucha música
268,"niño, escribir, ventana, con, dedo",El niño escribe en la ventana con el dedo.,El niño escribe con el dedo en la ventana
269,"guitarra, estar, carro",La guitarra está en el carro.,La guitarra está en el carro
270,"niña, comprar, ropa, en, tienda, de, ropa",La niña compra ropa en la tienda de ropa.,La niña compra ropa en la tienda de ropa
271,"mamá, cabra, tener, siete, cabritillos",Mamá cabra tiene siete cabritillos.,La mamá tiene siete cabritillos
272,"ratita, guapo, te, querer, casar",Ratita guapa te quieres casar.,La ratita quiere casar con el guapo
273,"cerditos, estar, asustado",Los cerditos están asustados.,Los cerditos están asustados
274,"niños, jugar, corro",Los niños juegan al corro.,Los niños juegan en el parque
275,"me, romper, tobillo, en, tobogán",Me rompí el tobillo en el tobogán.,Me romperé el tobillo en el tobogán
276,"cerditos, correr, rápido",Los cerditos corren rápido.,Los cerditos corren rápido
277,"niño, leer, cuento, pinocho",El niño lee el cuento de pinocho.,El niño lee el cuento de pinocho
278,"Luna, estar, cielo",La Luna está en el cielo.,La luna está en el cielo
279,"niña, comprar, con, carrito",La niña compra con el carrito.,La niña compra con el carrito
