,lemmas,real phrases,generated phrases
142,"niño, pesca, un, pez, pequeñito",El niño pesca un pez pequeñito.,El niño pescó un pez pequeñito.
143,"moto, estar, taller",La moto está en el taller.,La moto está en el taller.
144,"tortuga, nadar, en, mar",La tortuga nada en el mar.,La tortuga nada en el mar.
145,"su, madre, la, encontrar, llorar",Su madre la encontró llorando.,Su madre la encontró llorando.
146,"lobo, querer, comer, cabritillos",El lobo quiere comer a los cabritillos.,El lobo quiere comer los cabritillos.
147,"perro, jugar, con, hueso",El perro juega con el hueso.,El perro juega con el hueso.
148,"gato, dormir, encima, armario",El gato duerme encima del armario.,El gato duerme encima del armario.
149,"caracol, se, poner, triste",El caracol se puso triste.,El caracol se puso triste.
150,"niña, estar, sentado, escaleras",La niña está sentada en las escaleras.,La niña está sentada en las escaleras.
151,"perro, pasear, collar",El perro pasea con el collar.,El perro pasea con el collar.
152,"gato, dormir, encima, sofá",El gato duerme encima del sofá.,El gato duerme encima del sofá.
153,"arreglar, tubería, con, tenazas",Arreglé la tubería con las tenazas.,Arreglamos la tubería con las tenazas.
154,"gatos, dormir, debajo, árboles",Los gatos duermen debajo de los árboles.,Los gatos duermen debajo de los árboles.
155,"yo, querer, jugar, ordenador",Yo quiero jugar al ordenador.,Yo quiero jugar con el ordenador.
156,"cabritillo, pequeño, estar, reloj",El cabritillo pequeño está en el reloj.,El cabritillo pequeño está en el reloj.
157,"papá, y, niño, pescar, con, caña, en, río",El papá y el niño pescan con la caña en el río.,Papá y el niño pescan con cañas en el río.
158,"lobo, llamar, puerta",El lobo llamó a la puerta.,El lobo llama a la puerta.
159,"yo, jugar, en, parque, con, jabalí",Yo juego en el parque con el jabalí.,Yo juego en el parque con jabalí.
160,"niño, bajar, por, tobogán",El niño baja por el tobogán.,El niño baja por el tobogán.
161,"niña, jugar, agua",La niña juega con el agua.,La niña juega con el agua.
162,"niño, encender, luz",El niño enciende la luz.,El niño enciende la luz.
163,"lobo, querer, comer, lo",El lobo quiere comerlo.,El lobo quiere comerlos.
164,"Ricitos, de, Oro, entrar, un, casa",Ricitos de Oro entra en una casa.,Ricitos de Oro entra en una casa.
165,"lobo, se, relamer, pensar, cabritillos",El lobo se relamía pensando en los cabritillos.,El lobo se relame y pensó en los cabritillos.
166,"cerdo, vivir, en, granja",El cerdo vive en la granja.,El cerdo vive en la granja.
167,"ogro, tener, un, arpa, mágico",El ogro tenía un arpa mágica.,El ogro tiene una arpa mágica.
168,"planta, crecer",La planta creció.,La planta crece.
169,"Juan, vivir, su, mamá",Juan vivía con su mamá.,Juan vive con su mamá.
170,"ese, rey, ser, rusia",Ese rey es de rusia.,Ese rey es de Rusia.
171,"niño, escuchar, música",El niño escucha música.,El niño escucha la música.
172,"niña, tener, manos, pintado",La niña tiene las manos pintadas.,La niña tiene las manos pintadas.
173,"solo, estudiar, vaca",Solo estudiaba la vaca.,Solo estudio la vaca.
174,"niños, pintar, con, lapiz, azul, en, papel, blanco",Los niños pintan con un lapiz azul en papel blanco.,Los niños pintan con el lapiz azul en el papel blanco.
175,"chica, nadar, mar",La chica nada en la piscina.,La chica nada en el mar.
176,"yo, querer, jugar, con, fuego",Yo quiero jugar con el fuego.,Yo quiero jugar con el fuego.
177,"todos, quedar, sorprendido, de, su, disfraz, tan, bonito",Todos quedaron sorprendidos de su disfraz tan bonito.,Todos quedaron sorprendidos de su disfraz tan bonito.
178,"niña, comprar, con, carrito",La niña compra con el carrito.,La niña compra con el carrito.
179,"lobo, se, acostar, en, cama",El lobo se acuesta en la cama.,El lobo se acostó en la cama.
180,"niños, jugar, fútbol",Los niños juegan al fútbol.,Los niños juegan al fútbol.
181,"globo, volar, encima, montaña",El globo vuela encima de las montañas.,El globo vuela encima de la montaña.
182,"niña, columpiar, en, columpio",La niña se columpia en el columpio.,La niña columpia en el columpio.
183,"niña, nadar, biblioteca",La niña nada en la biblioteca.,La niña nada en la biblioteca.
184,"zapatería, tener, mucho, zapato",Esa zapatería tiene muchos zapatos.,La zapatería tiene mucho zapato.
185,"papá, comprar, supermercado",El papá compra en el supermercado.,El papá compra en el supermercado.
186,"niño, escuchar, gato",El niño escucha el gato.,El niño escucha al gato.
187,"burro, saludar, ratita",El burro saluda a la ratita.,El burro saludó a la ratita.
188,"lagarto, estar, en, lavadora",El lagarto está en la lavadora.,El lagarto está en la lavadora.
189,"yo, bañar, bañera",Yo me baño en la bañera.,Yo baño en la bañera.
190,"caballo, correr, mar",El caballo corre en el mar.,El caballo corre al mar.
191,"niña, pensar, bombilla",La niña piensa en una bombilla.,La niña piensa en la bombilla.
192,"niños, ir, colegio, avión",Los niños van al colegio en avión.,Los niños van al colegio en avión.
193,"ovejas, tener, mucho, lana",Las ovejas tienen mucha lana.,Las ovejas tienen mucho lana.
194,"Luna, estar, cielo",La Luna está en el cielo.,La Luna está en el cielo.
195,"no, lo, cambiar",No lo cambiaré.,No lo cambian.
196,"gusano, seda, se, enamorar, ella",El gusano de seda se enamoró de ella.,El gusano de seda se enamoró de ella.
197,"niño, mirar, mariposa, con, lupa",El niño mira la mariposa con la lupa.,El niño mira a la mariposa con la lupa.
198,"Rosa, tener, ropa, rojo",Rosa tiene ropa roja.,Rosa tiene ropa roja.
199,"leñador, cazar, un, jabalí",El leñador cazó un jabalí.,El leñador caza un jabalí.
200,"delfines, nadar, mar",Los delfines nadan en el mar.,Los delfines nadan en el mar.
201,"niño, estar, sentado, en, un, roca",La niña está sentada en una roca.,El niño está sentado en una roca.
202,"Juan, se, encontrar, un, mago",Juan se encontró con un mago.,Juan se encontró con un mago.
203,"ir, casa, mia, abuela",Voy a casa de mi de abuela.,Voy a la casa de mi abuela.
204,"niños, aprender, colegio",Los niños aprenden en el colegio.,Los niños aprenden en el colegio.
205,"niños, jugar, nieve",Los niños juegan con la nieve.,Los niños juegan en la nieve.
206,"papá, leer, un, cuento, a, niña, en, cama",El papá lee un cuento a la niña en la cama.,El papá lee un cuento a la niña en la cama.
207,"perro, ir, carretera",El perro fue por la carretera.,El perro va a la carretera.
208,"lunes, comer, lentejas",El lunes comeré lentejas.,El lunes como lentejas.
209,"niño, beber, botella",El niño bebe en la botella.,El niño bebe de la botella.
210,"cabrita, pequeño, se, esconder, debajo, de, cama",La cabrita pequeña se escondió debajo de la cama.,La cabrita pequeña se escondió debajo de la cama.
211,"Blancanieves, correr, bosque",Blancanieves corre al bosque.,Blancanieves corre por el bosque.
212,"niños, jugar, hoja, de, árbol",Los niños juegan con las hojas de los árboles.,Los niños juegan en la hoja de árbol.
213,"cerditos, estar, asustado",Los cerditos están asustados.,Los cerditos estaban asustados.
214,"ogro, se, ir",El ogro se fue.,El ogro se iba.
215,"abuela, estar, armario",La abuela está en el armario.,La abuela está en el armario.
216,"seis, cabritillos, salir, contento",Los seis cabritillos salen contentos.,Los seis cabritillos salieron contentos.
217,"abuelita, qué, boca, grande, tener",Abuelita qué boca grande tienes.,"Abuelita, ¿qué boca grande tienes?"
218,"nño, jugar, barco",El niño juega con el barco.,El nño juega con el barco.
219,"niño, escuchar, vaca",El niño escucha la vaca.,El niño escuchó a la vaca.
220,"dinero, estar, en, monedero",El dinero está en el monedero.,El dinero está en el monedero.
221,"lobo, dormir",El lobo dormía.,El lobo duerme.
222,"mariposa, volar, por, campo",La mariposa vuela por el campo.,La mariposa vuela por el campo.
223,"mamá, me, decir, hola, por, mañana",Mamá me dice hola por la mañana.,Mamá me dirá hola por la mañana.
224,"niño, montar, en, cerdo",El niño monta en el cerdo.,El niño montó en el cerdo.
225,"niños, jugar, con, construcciones",Los niños juegan con las construcciones.,Los niños juegan con las construcciones.
226,"su, mamá, se, enfadar",Su mamá se enfadó.,Su mamá se enfadó.
227,"ogro, tener, un, gallina, mágico",El ogro tenía una gallina mágica.,El ogro tiene un gallina mágica.
228,"tener, pata, blanco, como, mamá",Tiene la pata blanca como mamá.,Tengo la pata blanca como mamá.
229,"yo, dormir, día",Yo duermo por el día.,Yo duermo de día.
230,"papá, oso, coger, plato, grande",Papá oso coge el plato grande.,Papá oso coge el plato grande.
231,"qué, llevar, cesta, ?",¿Qué llevas en la cesta?,¿Qué llevas en la cesta?
232,"Imanol, ir, hotel",Imanol va al hotel.,Imanol fue al hotel.
233,"Reyes, mago, ir, camello",Los Reyes Magos van en camello.,Los Reyes Magos iron en camello.
234,"lobo, comer, seis, cabritillos",El lobo come a seis cabritillos.,El lobo comió seis cabritillos.
235,"dos, niños, correr, mucho",Los dos niños corren mucho.,Los dos niños corren mucho.
236,"niño, escuchar, rana",El niño escucha a la rana.,El niño escuchó a la rana.
237,"alcalde, no, querer, pagar, flautista",El alcalde no quiso pagar al flautista.,El alcalde no quería pagar al flautista.
238,"chico, flotar, churro",El chico flota con el churro.,El chico flotó con el churro.
239,"me, picar, nariz, oreja",Me pica la nariz y la oreja.,Yo me picaba el nariz y la oreja.
240,"papá, nadar, en, piscina",Papá nada en la piscina.,Papá nada en la piscina.
241,"niño, pasear, calle",El niño pasea por la calle.,El niño pasea por la calle.
242,"cerdito, ir, jugar",El cerdito va a jugar.,El cerdito va a jugar.
243,"torero, mirar, toro",El torero mira al toro.,El torero mira al toro.
244,"caracol, Ramó, no, saber, como, vestir, se",El caracol Ramón no sabe como vestirse.,El caracol Ramó no sabía cómo vestirse.
245,"niña, escribir, arena",La niña escribe en la arena.,La niña escribe en la arena.
246,"Marcelina, estar, montar, belén, en, su, casa",Marcelina está montando el belén en su casa.,Marcelina está montando belén en su casa.
247,"Caperucita, asombrado, preguntar, abuela",Caperucita asombrada preguntó a la abuela.,Caperucita se asombró preguntando a la abuela.
248,"pingüinos, patinar, nieve, con, gorros, bufandas",Los pingüinos patinan en la nieve con gorros y bufandas.,Los pingüinos patinaron en la nieve con gorros y bufandas.
249,"otro, hija, ser, Saturno",Otra hija era Saturno.,El otro hija sería Saturno.
250,"gallo, cantar, mañana",El gallo canta por la mañana.,El gallo canta mañana.
251,"Oscar, estar, bar",Oscar está en el bar.,Oscar está en la barra.
252,"gato, mirar, pez",El gato mira el pez.,El gato mira al pez.
253,"niña, jugar, piedras",La niña juega con las piedras.,La niña juega con piedras.
254,"niña, patinar, patines, casco",La niña patina con los patines y el casco.,La niña patinó con patines y casco.
255,"avión, rojo, volar, encima, nubes",El avión rojo vuela encima de las nubes.,El avión rojo vuela encima de las nubes.
256,"papá, abrir, puerta, de, coche, con, llave",El papá abre la puerta del coche con la llave.,Papá abrió la puerta del coche con la llave.
257,"Dorita, vivir, un, granja, con, su, tíos, su, perrito, Totó",Dorita vivía en una granja con sus tíos y su perrito Totó.,Dorita vivió en una granja con sus tíos y su perr
258,"libro, estuche, estar, dentro, horno",El libro y el estuche están dentro del horno.,El libro y el estuche están dentro del horno.
259,"alguien, romper, silla, pequeño",Alguien ha roto la silla pequeña.,Alguien rompió la silla pequeña.
260,"mamá, cabra, ir, comprar",Mamá cabra va a comprar.,Mamá cabra va a comprar.
261,"niño, leer, cuento, pinocho",El niño lee el cuento de pinocho.,El niño leía el cuento de Pinocho.
262,"niña, subir, escalera",La niña sube a la escalera.,La niña subió por la escalera.
263,"reyes, mago, traer, regalo",Los reyes magos traen regalo.,Los reyes magos trajeron regalo.
264,"coger, tapón, de, botella",Coge el tapón de la botella.,Cogí el tapón de la botella.
265,"tres, osos, volver, casa",Los tres osos vuelven a casa.,Los tres osos volvieron a la casa.
266,"gato, dormir, encima, guitarra",El gato duerme encima de la guitarra.,El gato duerme encima de la guitarra.
267,"yo, querer, comer",Yo quiero comer.,Yo quiero comer.
268,"mamá, le, comprar, muñeca, niño",La mamá le compra una muñeca a la niña.,Mamá le compra a la niña una muñeca.
269,"lobo, llamar, puerta",El lobo llama a la puerta.,El lobo llama a la puerta.
270,"Ramón, me, regalar, un, rosa, rojo",Ramón me regaló una rosa roja.,Ramón me regaló una rosa roja.
271,"caracol, Ramó, no, saber, como, vestir, se",El caracol Ramón no sabe como vestirse,El caracol Ramó no sabía cómo vestirse.
272,"policía, poner, un, multa",El policía puso una multa.,La policía puso una multa.
273,"este, ser, Caperuza, Roja",Esta es Caperucita Roja.,Él es Caperuza Roja.
274,"cazador, asustar, lobo",El cazador asustó al lobo.,El cazador asustó al lobo.
275,"abuelita, qué, orejas, grande, tener",Abuelita qué orejas grandes tienes.,"Abuelita, ¿por qué tienes orejas grandes?"
276,"Papá, Noel, ir, trineo, con, renos",Papá Noel va en trineo con renos.,Papá Noel irá en trineo con los renos.
277,"maleta, estar, salón",La maleta está en el salón.,La maleta está en el salón.
278,"ratita, comprar, un, lazo",La ratita compra un lazo.,Ratita compró un lazo.
279,"niña, aplaudir, con, pies",La niña aplaude con los pies.,La niña aplaudía con los pies.
280,"niño, jugar, piscina",Los niños juegan en la piscina.,El niño juega en la piscina.
281,"no, me, gustar, paté",No me gusta el paté.,No me gusta el paté.
282,"perro, dormir, en, cesta",El perro duerme en la cesta.,El perro duerme en la cesta.
283,"lobo, querer, comer, caperucita",El lobo quiere comer a caperucita.,El lobo quería comer a Caperucita.
284,"mujeres, se, vestir, de, mantilla",Las mujeres se visten de mantilla.,Las mujeres se vestían de mantilla.
285,"niños, ir, colegio, autobús",Los niños van al colegio en autobús.,Los niños van al colegio en el autobús.
286,"dos, coches, chocar, calle",Dos coches chocan en la calle.,Los dos coches chocaron en la calle.
287,"Juan, encontrar, castillo",Juan encontró un castillo.,Juan encontró un castillo.
288,"me, romper, tobillo, en, tobogán",Me rompí el tobillo en el tobogán.,Me rompí el tobillo en el tobogán.
289,"chico, nadar, en, mar",El chico nada en el mar.,El chico nada en el mar.
